depth.mid;depth.btm;depth.top;yr.mid;yr.btm;yr.top;d17O;d18O;D17O;d15N;d17O.err;d18O.err;D17O.err;d15N.err;NO3
2.5;5.75;0;2003.801125;2003.540833;2004;;;;;;;;;210.8
9;10.5;5.75;2003.28054;2003.15955;2003.540833;65.1;70.7;28.3;34.1;1;1.7;0.2;0.3;241.6
12;14.75;10.5;2003.03856;2002.815343;2003.15955;;;;;;;;;145.3
17.5;20.25;14.75;2002.592125;2002.367093;2002.815343;;;;;;;;;101.8
23;25.25;20.25;2002.14206;2001.956593;2002.367093;52.9;48.2;27.7;122.5;1;1.7;0.2;0.3;133.1
27.5;29.5;25.25;2001.771125;2001.605245;2001.956593;47.4;40.6;26.2;155.5;1;1.7;0.2;0.3;95.3
31.5;33.5;29.5;2001.439365;2001.272525;2001.605245;44.1;31.5;27.6;220.5;1;1.7;0.2;0.3;137.1
35.5;37.75;33.5;2001.105685;2000.916843;2001.272525;42.8;31.5;26.3;208.8;1;1.7;0.2;0.3;101.7
40;42.25;37.75;2000.728;2000.537943;2000.916843;;;;;;;;;22.4
44.5;46.75;42.25;2000.347885;2000.156613;2000.537943;;;;;;;;;71.8
49;51.25;46.75;1999.96534;1999.772853;2000.156613;;;;;;;;;69.7
53.5;55.5;51.25;1999.580365;1999.408245;1999.772853;38.2;26.8;24.4;291.9;1.8;2.9;0.5;0.5;10.7
57.5;59.5;55.5;1999.236125;1999.063045;1999.408245;37.7;27;23.7;284.6;1.8;2.9;0.5;0.5;5.7
61.5;63.75;59.5;1998.889965;1998.694103;1999.063045;41.1;28.5;26.4;317.1;1.8;2.9;0.5;0.5;11.2
66;68.25;63.75;1998.49824;1998.301163;1998.694103;40.4;30.8;24.4;339;1.8;2.9;0.5;0.5;6.9
70.5;72.75;68.25;1998.104085;1997.905793;1998.301163;42.6;33.4;25.1;294.5;1;1.7;0.2;0.3;9.1
75;77;72.75;1997.7075;1997.53022;1997.905793;41.1;31.1;25;302;1.8;2.9;0.5;0.5;7.9
79;80.75;77;1997.35294;1997.197033;1997.53022;38.2;28.8;23.1;308.3;1;1.7;0.2;0.3;12
82.5;84.5;80.75;1997.041125;1996.862045;1997.197033;41.5;33.1;24.4;309.8;1.8;2.9;0.5;0.5;7.6
86.5;90.25;84.5;1996.682965;1996.344603;1996.862045;36.5;31.8;20;272.2;1.2;2.4;0.9;1.3;6.9
94;97.75;90.25;1996.00624;1995.664503;1996.344603;35.2;25.9;21.5;332.6;0.6;1.3;0.1;0.3;
101.5;105.75;97.75;1995.322765;1994.931383;1995.664503;;;;;;;;;
110;112;105.75;1994.54;1994.35432;1994.931383;40.9;33.8;23.1;307.5;0.6;1.3;0.1;0.3;
114;116.5;112;1994.16864;1993.93519;1994.35432;40.9;32;23.9;316.6;0.6;1.3;0.1;0.3;
119;124.25;116.5;1993.70174;1993.206613;1993.93519;41.7;32.8;24.3;331.1;0.6;1.3;0.1;0.3;
129.5;132.25;124.25;1992.711485;1992.449493;1993.206613;33.7;25.7;20;321.6;0.6;1.3;0.1;0.3;
135;137.75;132.25;1992.1875;1991.923693;1992.449493;38.9;25.6;25.2;366.7;0.6;1.3;0.1;0.3;
140.5;142.5;137.75;1991.659885;1991.466885;1991.923693;45.7;31;29.7;350.1;1.8;2.9;0.5;0.5;10.2
144.5;146.25;142.5;1991.273885;1991.104223;1991.466885;;;;;;;;1.3;3.2
148;150;146.25;1990.93456;1990.73976;1991.104223;;;;;;;;1.3;5.2
152;154.25;150;1990.54496;1990.324663;1990.73976;43.5;31.7;27.2;326.3;1.8;2.9;0.5;0.5;9.4
156.5;158.75;154.25;1990.104365;1989.882853;1990.324663;45.5;34.5;27.6;327.1;1.8;2.9;0.5;0.5;4.2
161;163;158.75;1989.66134;1989.46342;1989.882853;;;;;;;;;16.2
165;167;163;1989.2655;1989.06662;1989.46342;48.5;47.6;23.8;260.3;1.2;2.4;0.9;1.3;
169;171.5;167;1988.86774;1988.61779;1989.06662;;;;;;;;;8.4
174;177;171.5;1988.36784;1988.06592;1988.61779;46.6;39.1;26.3;314.3;1.8;2.9;0.5;0.5;16
180;182.5;177;1987.764;1987.51075;1988.06592;53.1;55.8;24;269.5;1.8;2.9;0.5;0.5;10.2
185;187;182.5;1987.2575;1987.05382;1987.51075;50.4;49.1;24.9;231.2;1.8;2.9;0.5;0.5;7.3
189;191.25;187;1986.85014;1986.619853;1987.05382;52.8;49.7;27;256.1;1.8;2.9;0.5;0.5;10.2
193.5;195.75;191.25;1986.389565;1986.158063;1986.619853;47.8;43.3;25.3;273;1.8;2.9;0.5;0.5;10.4
198;200;195.75;1985.92656;1985.71976;1986.158063;50.7;43.2;28.3;297.3;1.8;2.9;0.5;0.5;8.2
202;206.5;200;1985.51296;1985.04415;1985.71976;53.2;49.7;27.4;279.5;1.8;2.9;0.5;0.5;8.9
211;213.5;206.5;1984.57534;1984.31279;1985.04415;;;;236.6;;;;1.3;
216;218.5;213.5;1984.05024;1983.78619;1984.31279;;;;256.3;;;;1.3;13
221;224;218.5;1983.52214;1983.2033;1983.78619;55.4;56.5;26.1;239;1.2;2.4;0.9;1.3;18.1
227;229.75;224;1982.88446;1982.590293;1983.2033;;;;247.1;;;;1.3;
232.5;235;229.75;1982.296125;1982.027125;1982.590293;;;;248.5;;;;1.3;
237.5;240;235;1981.758125;1981.487625;1982.027125;;;;;;;;;22.1
242.5;245;240;1981.217125;1980.945125;1981.487625;41.9;32.9;24.8;262.3;1.2;2.4;0.9;1.3;
247.5;249.75;245;1980.673125;1980.427043;1980.945125;;;;;;;;;0.5
252;254.25;249.75;1980.18096;1979.933663;1980.427043;;;;;;;;;20.2
256.5;259.25;254.25;1979.686365;1979.382463;1979.933663;51.8;44.1;28.7;304.6;1;1.7;0.2;0.3;10.1
262;264.75;259.25;1979.07856;1978.772843;1979.382463;;;;;;;;;15.9
267.5;270;264.75;1978.467125;1978.187625;1978.772843;54.1;47.8;29.1;278.9;1.3;2.3;0.3;0.9;
272.5;275;270;1977.908125;1977.627125;1978.187625;;;;;;;;;13.2
277.5;280;275;1977.346125;1977.063625;1977.627125;;;;;;;;;10.8
282.5;285;280;1976.781125;1976.497125;1977.063625;;;;;;;;;17.1
287.5;290;285;1976.213125;1975.927625;1976.497125;;;;;;;;;22.1
292.5;295;290;1975.642125;1975.355125;1975.927625;60;55.1;31.3;258.8;;;;;9.8
297.5;300;295;1975.068125;1974.779625;1975.355125;;;;;;;;;21.9
302.5;305.25;300;1974.491125;1974.172043;1974.779625;44.5;38.1;24.7;238.1;1.2;2.4;0.9;1.3;9.5
308;310.75;305.25;1973.85296;1973.532063;1974.172043;;;;222.8;;;;1.3;15.9
313.5;316.25;310.75;1973.211165;1972.888453;1973.532063;;;;232.6;;;;1.3;5.9
319;321.5;316.25;1972.56574;1972.27079;1972.888453;66.4;66.2;32;240.7;;;;;24.8
